"Tree_ID","ARST","CHDI","COTR","DITY","GAPR","HEAN","HEBA","HEMA","HEMI","HEPL","LALO","LYMO","MOAF","MOSU","NAME","NUBO","PSOR","PSPU","RHRO","TRMA","TRPL","TRVA","VAAL","X25","diversity_shannon","EffectSpecNumShan","diversity_simpson","EffectSpecNumbSimps","abund","rich","diversity_shannon_Arb","diversity_simpson_Arb","EffectSpecNumShan_Arb","EffectSpecNumbSimps_Arb","abund_Arb","rich_Arb","diversity_shannon_Ter","diversity_simpson_Ter","EffectSpecNumShan_Ter","EffectSpecNumbSimps_Ter","abund_Ter","rich_Ter","diversity_shannon_Noct","diversity_simpson_Noct","EffectSpecNumShan_Noct","EffectSpecNumbSimps_Noct","abund_Noct","rich_Noct","diversity_shannon_Diur","diversity_simpson_Diur","EffectSpecNumShan_Diur","EffectSpecNumbSimps_Diur","abund_Diur","rich_Diur","extra_ground","category","Tree_species","DBH_cm","MHC_m","HOT_m","forest_type","edge_category_m","edge_dist_m","med_hght","MedHghtPerc","HeightRange_m","TotalAvgCan","CanMinus10","CanMinus5","Can0","CanPlus5","CanPlus10","AvgHerbCover","AvgLeafLayer","StemLess8cm","StemMore8cm","BasalArea","Debris","lat","lon"
"BR21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,0,1,1,1,1,"N","edge","Brachystegia spiciformis",66.8,17.5,19,"BR",30,NA,NA,NA,NA,53.304,56.32,48.78,56.84,55.54,49.04,88.7,1,33,6,100,2,-3.401411,39.910025
"BR22",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.693147180559945,2,0.5,2,2,2,0.693147180559945,0.5,2,2,2,2,0,1,1,Inf,0,0,0,0,1,1,1,1,0,0,1,1,1,1,"N","edge","Brachystegia spiciformis",83,16.5,19,"BR",30,NA,5.45,0.286842105263158,8.9,67.24,61.26,65.42,69.06,71.4,69.06,50.5,1.6,32,2,NA,2,-3.402378,39.908836
"BR23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,0,1,1,1,1,"N","core","Balanites wilsoniana",58,16,18,"BR",500,NA,1,0.0555555555555556,0,76.288,79.72,80.24,75.04,75.04,71.4,62.9,1.8,56,1,50,3,-3.397876,39.907374
"BR24",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,0,1,1,1,1,"N","core","Brachystegia spiciformis",61,15,17,"BR",250,NA,NA,NA,NA,76.34,80.76,81.28,88.04,75.82,55.8,51,1.8,64,5,50,4,-3.400102,39.908296
"BR25",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.636514168294813,1.88988157484231,0.444444444444444,1.8,3,2,0.636514168294813,0.444444444444444,1.88988157484231,1.8,3,2,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0.636514168294813,0.444444444444444,1.88988157484231,1.8,3,2,"N","core","Brachystegia spiciformis",74,14.8,18,"BR",250,NA,3.5,0.194444444444444,5.7,82.944,85.18,87,73.22,89.86,79.46,30,1.4,66,2,70,4,-3.399566,39.909052
"BR26",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.693147180559945,2,0.5,2,2,2,0.693147180559945,0.5,2,2,2,2,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0.693147180559945,0.5,2,2,2,2,"N","edge","Brachystegia spiciformis",61.7,14.5,17,"BR",0,NA,7.25,0.426470588235294,0.5,62.664,78.68,72.7,59.18,56.58,46.18,27.6,1.8,21,3,30,0,-3.402528,39.909291
"BR27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,"N","core","Brachystegia spiciformis",76.5,17,19,"BR",250,NA,1.5,0.0789473684210526,0,65.368,67.24,68.8,69.32,55.02,66.46,30.5,1.8,69,2,50,0,-3.405583,39.903622
"BR28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,"N","core","Brachystegia spiciformis",53,18,21,"BR",100,NA,NA,NA,NA,64.068,53.72,58.92,64.64,70.88,72.18,24,1.4,76,3,80,2,-3.406083,39.904928
"BR29",0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0.950270539233235,2.58640928985893,0.56,2.27272727272727,5,3,0.950270539233235,0.56,2.58640928985893,2.27272727272727,5,3,0,1,1,Inf,0,0,0,0,1,1,1,1,0.562335144618808,0.375,1.75476535060332,1.6,4,2,"N","core","Brachystegia spiciformis",68,NA,NA,"BR",250,NA,6.35,NA,8,83.776,62.3,81.54,94.8,92.2,88.04,19.5,1.8,36,3,NA,0,-3.404012,39.904359
"BR3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,0,1,1,1,1,"N","edge","Brachystegia spiciformis",54,13.3,15.3,"BR",0,3,NA,NA,NA,74.832,81.54,81.28,85.96,59.7,65.68,51,1.6,6,14,60,4,-3.354589,39.905821
"BR30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,"N","core","Brachystegia spiciformis",50.3,NA,NA,"BR",100,NA,6.6,NA,0,78.732,81.8,83.36,81.8,75.3,71.4,26.2,1.8,32,1,NA,2,-3.404219,39.905684
"BR4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,"N","core",NA,NA,13,16,"BR",500,NA,2,0.125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.354916,39.899618
"BR5",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.636514168294813,1.88988157484231,0.444444444444444,1.8,3,2,0.636514168294813,0.444444444444444,1.88988157484231,1.8,3,2,0,1,1,Inf,0,0,0,0,1,1,1,1,0,0,1,1,2,1,"N","core","Brachystegia spiciformis",57.5,14,15.5,"BR",500,NA,11.35,0.732258064516129,0.300000000000001,71.816,75.82,74.52,79.46,75.82,53.46,43.5,2,10,8,80,5,-3.356033,39.898642
"BR6",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,1,1,2,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,0,1,1,2,1,"N","edge","Brachystegia spiciformis",65,15.8,17,"BR",30,NA,5.65,0.332352941176471,5.3,67.448,71.66,58.92,65.16,69.32,72.18,81,1.6,30,0,50,0,-3.355641,39.905071
"BR7",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,1,1,2,1,0,1,1,Inf,0,0,0,0,1,1,2,1,0,1,1,Inf,0,0,"N","core","Brachystegia spiciformis",57.5,14.8,17.3,"BR",100,NA,NA,NA,NA,87.156,82.84,88.3,89.08,88.3,87.26,30.5,1.6,13,7,60,4,-3.359737,39.900837
"BR8",0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1.242453324894,3.46410161513775,0.666666666666667,3,6,4,1.242453324894,0.666666666666667,3.46410161513775,3,6,4,0,1,1,Inf,0,0,0,0,1,1,1,1,0.950270539233235,0.56,2.58640928985893,2.27272727272727,5,3,"N","edge","Brachystegia spiciformis",53,14.1,15.1,"BR",0,NA,5,0.33112582781457,6.7,64.692,77.9,76.6,81.28,78.16,9.52,15.5,1.6,16,4,70,7,-3.360596,39.901709
"BR8",0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1.242453324894,3.46410161513775,0.666666666666667,3,6,4,1.242453324894,0.666666666666667,3.46410161513775,3,6,4,0,1,1,Inf,0,0,0,0,1,1,1,1,0.950270539233235,0.56,2.58640928985893,2.27272727272727,5,3,"N","edge","Brachystegia spiciformis",53,14.1,15.1,"BR",0,NA,5,0.33112582781457,6.7,64.692,77.9,76.6,81.28,78.16,9.52,15.5,1.6,16,4,70,7,-3.362589,39.902675
"BR9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,0,1,1,1,1,"N","edge","Brachystegia spiciformis",69.5,19.7,20.2,"BR",30,NA,NA,NA,NA,77.51,76.86,79.2,82.58,71.4,NA,31.6,2,26,9,60,2,-3.361403,39.901
"MAT_BR11",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.693147180559945,2,0.5,2,2,2,0.693147180559945,0.5,2,2,2,2,0,1,1,Inf,0,0,0,0,1,1,1,1,0,0,1,1,1,1,"N","edge",NA,NA,NA,NA,"BR",-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT_BR12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,"N","edge",NA,NA,NA,NA,"BR",-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT_BR26",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.636514168294813,1.88988157484231,0.444444444444444,1.8,3,2,0,0,1,1,2,1,0,0,1,1,1,1,0,0,1,1,2,1,0,0,1,1,1,1,"N","edge",NA,NA,NA,NA,"BR",-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT_BR30",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,1,2,1,0,1,1,Inf,0,0,0,0,1,1,2,1,0,1,1,Inf,0,0,"N","edge",NA,NA,NA,NA,"BR",-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT_BR8",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0.940447988655326,2.56112851788714,0.48,1.92307692307692,10,4,0.693147180559945,0.5,2,2,2,2,0.376770161256437,0.21875,1.45756926498109,1.28,8,2,0,0,1,1,1,1,0.683738905848754,0.37037037037037,1.98127168926922,1.58823529411765,9,3,"N","edge",NA,NA,NA,NA,"BR",-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT_BR9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0.325082973391448,1.38414548846169,0.18,1.21951219512195,10,2,0,0,1,1,1,1,0,0,1,1,9,1,0,1,1,Inf,0,0,0.325082973391448,0.18,1.38414548846169,1.21951219512195,10,2,"N","edge",NA,NA,NA,NA,"BR",-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
