"Tree_ID","extra_ground","category","Tree_species","DBH_cm","MHC_m","HOT_m","forest_type","edge_category_m","edge_dist_m","notes"
"BR3","N","edge","Brachystegia spiciformis","54","13.3","15.3","BR","0","3","line stolen so no night yet, tree species†: Mrihi"
"BR30","N","NA","Brachystegia spiciformis","50.3","NA","NA","BR","100","NA","NA"
"BR4","N","interior","NA","NA","13","16","BR","500","NA","MHC = HOT ñ 1,5m / HOT about 16 m"
"BR5","N","interior","Brachystegia spiciformis","57.5","14","15.5","BR","500","NA","NA"
"BR6","N","edge","Brachystegia spiciformis","65","15.8","17","BR","30","NA","tree without much mid-storey, thick understorey"
"BR7","N","NA","Brachystegia spiciformis","57.5","14.8","17.3","BR","100","NA","NA"
"BR8","N","edge","Brachystegia spiciformis","53","14.1","15.1","BR","0","NA","NA"
"BR9","N","edge","Brachystegia spiciformis","69.5","19.7","20.2","BR","30","NA","NA"
"CY1","N","interior","NA","28.5","10.4","10.5","CY","500","NA","NA"
"CY10","N","edge","NA","35.5","9.6","11.6","CY","30","NA","tree species not cynometra"
"CY11","N","interior","Cynometra webberi","29.5","9.5","10","CY","250","NA","NA"
"CY12","N","interior","Cynometra webberi","28.3","9","10","CY","250","NA","NA"
"CY13","N","NA","Cynometra webberi","22.9","8.3000000000000007","10","CY","NA","NA","NA"
"CY13.100","Y","NA","NA","NA","NA","NA","CY","NA","NA","NA"
"CY2","N","interior","NA","22","9.4","11","CY","500","NA","NA"
"CY3","N","interior","NA","28.4","9.6999999999999993","11.7","CY","500","NA","NA"
"CY4","N","interior","Cynometra webberi","25.2","9.3000000000000007","10.8","CY","250","NA","NA"
"CY5","N","interior","Cynometra webberi","28.3","9.5","9.9","CY","250","NA","NA"
"CY6","N","edge","Cynometra webberi","26","10","10.3","CY","0","NA","NA"
"CY7","N","edge","Cynometra webberi","32","10.5","10.5","CY","30","NA","NA"
"CY8","N","edge","NA","33.299999999999997","11","12.5","CY","0","NA","one of the largest trees in the area, tree species not cynometra, very dense, several trees down"
"CY9","N","edge","NA","36.299999999999997","12","13","CY","0","NA","tree species not cynometra"
"CY1.100","Y","interior","Cynometra webberi","NA","NA","NA","CY","NA","50","NA"
"M1","N","interior","Manilkara zanzibarensis","40.5","13.3","15.3","M","500","NA","NA"
"M10","N","interior","Manilkara zanzibarensis","47","16.5","16.5","M","500","NA","NA"
"M10.100","Y","interior","NA","NA","NA","NA","M","500","NA","NA"
"M11","N","interior","Manilkara zanzibarensis","25.4","14","16.5","M","500","NA","NA"
"M11.100","Y","interior","NA","NA","NA","NA","M","500","NA","NA"
"M12","N","interior","Hamenia verrucosum","26.9","12.5","13.5","M","250","NA","NA"
"M12.100","Y","interior","NA","NA","NA","NA","M","250","NA","NA"
"M13","N","edge","Hamenia verrucosum","74","17.3","17.3","M","0","0","very close to the road < 10 m"
"M14","N","edge","NA","35","12.5","14.25","M","0","2","scattered trash, tree with multiple trunks"
"M14.100","Y","edge","NA","NA","NA","NA","M","0","NA","NA"
"M15","N","edge","NA","52.5","15.65","17.649999999999999","M","30","NA","on footpath, cut trees"
"M15.100","Y","edge","NA","NA","NA","NA","M","30","NA","lots of cut trees"
"M16","N","edge","Hamenia verrucosum","61.4","18","20","M","30","NA","quite dense mixed forest"
"M17","N","edge","NA","40.5","14","16.75","M","100","NA","very few midstorey, footpaths and cutting present, mainly samplings and larger trees"
"M18","N","interior","NA","48.4","14.18","15.18","M","250","NA","several cut down trees in area"
"M19","N","interior","Hamenia verrucosum","35","16","18","M","250","NA","2 trees sampled because very close to each other, 2nd tree is Manilkara zanzibarensis DBH = 28,7"
"M2","N","interior","NA","38.5","11.9","14.8","M","500","NA","tree species†: Mng'ambo peho"
"M20","N","edge","NA","66.7","13.96","15.4","M","100","NA","area around tree heavily disturbed by elephants eating bark / different tree, heavily riged bark, 5-7 leafs per grouping"
"M21","N","edge","Afzelia quanzensis","43.5","13.5","14","M","100","NA","NA"
"M22","N","edge","NA","61.7","14.5","17.5","M","30","NA","NA"
"M23","N","NA","Hamenia verrucosum","39","12","14","M","0","NA","NA"
"M24","N","NA","Hamenia verrucosum","50.5","12.8","14.8","M","30","NA","tree at 30 m from a different habitat†: forest that was cleared, smaller tree, more light"
"M25","N","NA","Manilkara zanzibarensis","33.6","14.3","17.2","M","0","NA","2 trees close to each other so both sampled"
"M26","N","NA","Hamenia verrucosum","24","11.5","13","M","250","NA","NA"
"M27","N","NA","Hamenia verrucosum","34.5","11.5","11","M","250","NA","NA"
"M28","N","NA","Manilkara zanzibarensis","58.4","13.8","17","M","0","NA","NA"
"M29","N","NA","Manilkara zanzibarensis","37.799999999999997","10","11.5","M","100","NA","two trees sampled because very close to each other, other one†: Manilkara zanzibarensi, DBH = 38"
"M3","N","edge","NA","56","14.5","20","M","0","5","tree species†: Mng'ambo peho"
"M30","N","NA","Hamenia verrucosum","36.5","14","15.2","M","250","NA","NA"
"M31","N","NA","Manilkara zanzibarensis","41.6","14.7","17","M","0","NA","NA"
"M4","N","edge","NA","36","17","20","M","0","8","tree species†: Mng'ambo peho, HC and HOT estimated"
"M5","N","edge","Hamenia verrucosum","34","NA","NA","M","0","6","MHC=HOT+0,5m, hamenia verrucosum ñ sibile, this is the most common arbuko-sokoke forest, it has edible fruits ñ mokeys favourite"
"M6","N","edge","Manilkara zanzibarensis","36.5","13.7","15.1","M","30","39","NA"
"M7","N","interior","NA","32.200000000000003","10.9","12.4","M","500","NA","this area is younger mixed forest, fewer large trees, also has elephant access, so more natural damage presumably"
"M8","N","interior","Hamenia verrucosum","158","10.25","11.5","M","500","NA","NA"
"M9","N","edge","NA","109","10","12","M","100","NA","NA"
"MAT_BR11","N","matrix","NA","NA","NA","NA","BR","-10","NA","NA"
"MAT_BR12","N","matrix","NA","NA","NA","NA","BR","-10","NA","NA"
"MAT_BR26","N","matrix","NA","NA","NA","NA","BR","-10","NA","NA"
"MAT_BR30","N","matrix","NA","NA","NA","NA","BR","-10","NA","other side of the road"
"MAT_BR8","N","matrix","NA","NA","NA","NA","BR","-10","NA","NA"
"MAT_BR9","N","matrix","NA","NA","NA","NA","BR","-10","NA","NA"
"MAT_CY10","N","matrix","NA","NA","NA","NA","CY","-10","NA","NA"
"MAT_CY6","N","matrix","NA","NA","NA","NA","CY","-10","NA","NA"
"MAT_CY7","N","matrix","NA","NA","NA","NA","CY","-10","NA","NA"
"MAT_CY8","N","matrix","NA","NA","NA","NA","CY","-10","NA","NA"
"MAT_CY9","N","matrix","NA","NA","NA","NA","CY","-10","NA","NA"
"MAT_M13","N","matrix","NA","NA","NA","NA","M","-10","NA","NA"
"MAT_M14","N","matrix","NA","NA","NA","NA","M","-10","NA","NA"
"MAT_M21","N","matrix","NA","NA","NA","NA","M","-10","NA","NA"
"MAT_M22","N","matrix","NA","NA","NA","NA","M","-10","NA","NA"
"MAT_M25","N","matrix","NA","NA","NA","NA","M","-10","NA","NA"
"MAT_M31","N","matrix","NA","NA","NA","NA","M","-10","NA","NA"
"MAT_M5","N","matrix","NA","NA","NA","NA","M","-10","NA","NA"
